Time,Text
2023-01-21 09:20:09,Order 678911269 for symbol BYBIT:ETHUSD.P has been executed at price 1653.70 for 10 shares
2023-01-21 09:20:09,Order 678911344 successfully cancelled
2023-01-20 23:40:59,Order 678911344 successfully placed
2023-01-20 23:40:59,Order 678911269 modification confirmed
2023-01-20 23:40:59,Modify position for symbol BYBIT:ETHUSD.P with SL 1654.65 and TP 1358.35
2023-01-20 23:40:55,Order 678911269 successfully placed
2023-01-20 23:40:55,Modify position for symbol BYBIT:ETHUSD.P with SL 1654.65
2023-01-20 23:40:51,Order 678911206 for symbol BYBIT:ETHUSD.P has been executed at price 1555.50 for 10 shares
2023-01-20 23:40:51,Order 678911206 successfully placed
2023-01-20 23:40:51,Call to place market order to sell 10 shares of symbol BYBIT:ETHUSD.P 
2023-01-19 03:44:44,Order 675402140 for symbol BITSTAMP:BTCUSD has been executed at price 20420.00 for 3 shares
2023-01-19 03:44:44,Order 675402150 successfully cancelled
2023-01-18 10:11:45,Order 675402150 successfully placed
2023-01-18 10:11:45,Order 675402140 modification confirmed
2023-01-18 10:11:45,Modify position for symbol BITSTAMP:BTCUSD with SL 20457.64 and TP 22274.42
2023-01-18 10:11:43,Order 675402140 successfully placed
2023-01-18 10:11:43,Modify position for symbol BITSTAMP:BTCUSD with SL 20457.64
2023-01-18 10:11:39,Order 675402114 for symbol BITSTAMP:BTCUSD has been executed at price 21259.00 for 3 shares
2023-01-18 10:11:39,Order 675402114 successfully placed
2023-01-18 10:11:39,Call to place market order to buy 3 shares of symbol BITSTAMP:BTCUSD 
2023-01-17 09:59:28,Order 673832172 for symbol BINANCE:AVAXUSDT has been executed at price 16.72 for 200 shares
2023-01-17 09:59:28,Order 673832172 successfully placed
2023-01-17 09:59:28,Call to place market order to sell 200 shares of symbol BINANCE:AVAXUSDT 
2023-01-17 09:59:26,Order 672480574 successfully cancelled
2023-01-17 09:59:26,Order 672480600 successfully cancelled
2023-01-17 09:59:26,Order 673832162 for symbol BYBIT:ETHUSD.P has been executed at price 1580.15 for 5 shares
2023-01-17 09:59:26,Order 673832162 successfully placed
2023-01-17 09:59:26,Call to place market order to buy 5 shares of symbol BYBIT:ETHUSD.P 
2023-01-17 09:59:25,Order 672667225 successfully cancelled
2023-01-17 09:59:25,Order 672667305 successfully cancelled
2023-01-17 09:59:25,Order 673832151 for symbol BITSTAMP:BTCUSD has been executed at price 21202.00 for 3 shares
2023-01-17 09:59:25,Order 673832151 successfully placed
2023-01-17 09:59:25,Call to place market order to buy 3 shares of symbol BITSTAMP:BTCUSD 
2023-01-16 14:03:09,Order 672667305 successfully placed
2023-01-16 14:03:09,Order 672667225 modification confirmed
2023-01-16 14:03:09,Modify position for symbol BITSTAMP:BTCUSD with SL 21973.93 and TP 18780.47
2023-01-16 14:03:01,Order 672667225 successfully placed
2023-01-16 14:03:01,Modify position for symbol BITSTAMP:BTCUSD with SL 21973.93
2023-01-16 14:02:58,Order 672667202 for symbol BITSTAMP:BTCUSD has been executed at price 21215.00 for 3 shares
2023-01-16 14:02:58,Order 672667202 successfully placed
2023-01-16 14:02:58,Call to place market order to sell 3 shares of symbol BITSTAMP:BTCUSD 
2023-01-16 13:23:13,Order 672480059 for symbol BITSTAMP:BTCUSD has been executed at price 21369.00 for 3 shares
2023-01-16 13:23:13,Order 672480086 successfully cancelled
2023-01-16 09:49:58,Order 672480086 modification confirmed
2023-01-16 09:49:58,Order 672480059 modification confirmed
2023-01-16 09:49:58,Modify position for symbol BITSTAMP:BTCUSD with SL 21358.99 and TP 19348.20
2023-01-16 09:22:16,Order 672480600 successfully placed
2023-01-16 09:22:16,Order 672480574 modification confirmed
2023-01-16 09:22:16,Modify position for symbol BYBIT:ETHUSD.P with SL 1611.00 and TP 1460.60
2023-01-16 09:22:14,Order 672480574 successfully placed